sample_index,alpha_lpa,beta_lpa,lrr_lpa,alpha_rpa,beta_rpa,lrr_rpa,constant_indicator_lpa,constant_indicator_rpa,eh_lpa,eh_rpa,k1_lpa,k2_lpa,k3_lpa,k1_rpa,k2_rpa,k3_rpa,compliance_label_lpa,compliance_label_rpa,mpa_systolic,mpa_diastolic,mpa_mean,rpa_split,lpa_split
30,0.7118252681865814,0.5531604831039441,15.31822994025527,0.46156054885197606,0.773252840546542,15.051727999957283,1.0,0.0,147073.5277680144,0.0,0.0,0.0,0.0,12611720.496951975,-19.036611662656888,638161.3818386159,Constant (1.47e+05),Olufsen,3956.4653983554595,3.1407081496152016,819.4321128390848,0.49568096207038753,0.5043190379296125
31,0.3003353803148797,0.11690539548334652,5.064967344347995,0.35387315359915683,0.1057664018285675,9.089531426281958,1.0,1.0,69556.57218839397,62106.157035062904,0.0,0.0,0.0,0.0,0.0,0.0,Constant (6.96e+04),Constant (6.21e+04),4030.453736922732,-83.06619382530266,826.4334556898347,0.45391567164995833,0.5460843283500416
32,0.16995317149098704,0.3460821046970953,2.8689312609084014,0.20191056931349366,0.5154753109110555,4.905694375632379,1.0,0.0,132008.83607772383,0.0,0.0,0.0,0.0,25837188.994298782,-17.085349038111534,1147826.4221147886,Constant (1.32e+05),Olufsen,3967.6389881266196,-1.8823588026157225,819.8396973780078,0.511309075523687,0.488690924476313
33,0.44852305434689665,0.5737292790513839,12.593492207593247,0.11675329395199897,0.48503086728048483,7.645615690395844,1.0,0.0,72278.10735931758,0.0,0.0,0.0,0.0,27223040.62590358,-19.617001933687504,1505723.9058614504,Constant (7.23e+04),Olufsen,4011.5974865094763,-5.489776098216039,830.5272245731251,0.5177628021450239,0.4822371978549761
34,0.6868852678517795,0.7556819983563295,2.9148517482513316,0.15914015496848075,0.1598480583848493,4.179887341782946,0.0,1.0,0.0,129038.8948031142,22120352.673812795,-23.57960114202218,1103087.389551645,0.0,0.0,0.0,Olufsen,Constant (1.29e+05),4059.0596473922046,-176.8118324267494,839.7208643507594,0.6139700195002237,0.3860299804997763
35,0.5185274744819641,0.14198726529105626,12.975371212781189,0.6933453565189969,0.6352587403240781,19.001990726027163,0.0,0.0,0.0,0.0,18459816.430722,-17.4476989371647,810110.6643671306,12731994.040965015,-36.330236989158195,649511.4757661626,Olufsen,Olufsen,4001.652101516892,-5.134984554954023,827.9578752924278,0.4816630090243194,0.5183369909756805
36,0.765140138579879,0.7936886188401726,9.303817561088113,0.3969370162969763,0.4436661515666579,17.90246857874227,0.0,1.0,0.0,55604.846675262204,29930673.050050654,-21.2661113820525,1520287.8977378972,0.0,0.0,0.0,Olufsen,Constant (5.56e+04),3945.371648364473,-31.442083133210946,821.0128258935576,0.5128762497704039,0.4871237502295961
37,0.14325418103728793,0.5080107756829946,12.189934811004084,0.42518878836715346,0.6797450464360568,15.487340525254602,1.0,1.0,137930.2643007811,114494.33300832764,0.0,0.0,0.0,0.0,0.0,0.0,Constant (1.38e+05),Constant (1.14e+05),3993.0765762555316,-3.7785010090637754,826.7242402760629,0.485392553723751,0.514607446276249
38,0.22823230106311518,0.5253283503257934,8.65071666391243,0.257269360345339,0.2148852555538749,19.44001459402042,1.0,1.0,64235.78712151032,83167.28262210607,0.0,0.0,0.0,0.0,0.0,0.0,Constant (6.42e+04),Constant (8.32e+04),3964.763056954648,-43.915914896737306,824.5073426328456,0.5273316500977079,0.4726683499022921
39,0.4212680339042827,0.6459985275834121,15.181337783641364,0.2423320187398513,0.5456197842023994,13.139288784634044,0.0,0.0,0.0,0.0,28693817.19961265,-14.18213442311866,663671.9317613929,15798773.798861543,-35.13813580754635,851280.6611473962,Olufsen,Olufsen,3999.8566617279143,-3.65764220602332,828.3344995401633,0.5151132461830346,0.48488675381696544
40,0.15220333953447157,0.48838709100622024,4.783953507815871,0.5253207082893361,0.33996325947959016,6.8549803571703904,1.0,0.0,141896.40360907704,0.0,0.0,0.0,0.0,16151433.162406236,-34.58017130471171,1531042.1547562848,Constant (1.42e+05),Olufsen,3956.9207525368333,1.9616800499665445,818.9520351889579,0.49392383672433343,0.5060761632756665
41,0.7950059164209224,0.4179966569654845,13.68945796962138,0.12393976434228915,0.26239661322430297,2.55987781031276,0.0,0.0,0.0,0.0,18179522.26186048,-36.220098633224254,627609.245385525,10238121.252835825,-23.44687944684873,1626692.355831726,Olufsen,Olufsen,4560.7910063912,-329.32642930652383,867.9737917490445,0.6979021845303116,0.3020978154696884
42,0.6643012834238261,0.28384693422998664,4.157750004447551,0.2709983024155861,0.1772904527513774,7.800372445036489,0.0,1.0,0.0,140631.5741944206,17641195.176795732,-15.256034960968194,1437216.275705595,0.0,0.0,0.0,Olufsen,Constant (1.41e+05),4004.3785343944223,-81.54120106140678,826.7751227121273,0.5747721003059728,0.4252278996940272
43,0.631579050376024,0.5860545029546148,3.7635839164231086,0.29109171928209476,0.38780467817726494,8.554097370431224,0.0,1.0,0.0,75407.40221643934,10565171.440692065,-34.079239148378264,1046647.2159292381,0.0,0.0,0.0,Olufsen,Constant (7.54e+04),3945.3894619934135,-92.41759845311617,832.8365384571947,0.5453339421773891,0.45466605782261094
44,0.390874422779647,0.1302888031854459,9.542249951665058,0.5657102652130089,0.39946524057067123,14.162284180570769,0.0,0.0,0.0,0.0,10295820.124935053,-26.125535659248584,802133.5832465385,24747916.39229165,-14.20036678364364,613772.0644007735,Olufsen,Olufsen,4009.0350037213248,-8.771805513889445,828.4522431912908,0.4735600145735052,0.5264399854264947
45,0.3346586590030917,0.6106753149294188,19.429018291733676,0.21792542553235997,0.4606609293662941,3.421682781515939,1.0,0.0,51688.36528704597,0.0,0.0,0.0,0.0,21033954.75742307,-18.678342464104176,604977.2763011281,Constant (5.17e+04),Olufsen,4741.053188021366,-463.9046077780189,891.2026027832562,0.7270581122834134,0.27294188771658656
46,0.13134167043550093,0.6845184440679651,5.584711505025737,0.4361513423917487,0.331006116090399,17.333717971945337,0.0,1.0,0.0,123852.18348093177,16766315.979520787,-30.80966668786076,960560.5884279326,0.0,0.0,0.0,Olufsen,Constant (1.24e+05),3974.2987000020985,-72.3492137656796,834.5357942332921,0.5371579369206115,0.46284206307938847
47,0.22948907523576959,0.41071928905528854,11.612886105138674,0.6122215060073858,0.4668285557535474,16.27524591052796,1.0,0.0,130337.93348534571,0.0,0.0,0.0,0.0,21497010.974193584,-20.43703306772885,1037156.585098682,Constant (1.30e+05),Olufsen,3973.2066341271425,-1.9061561885617748,821.2752373582472,0.5090934145076731,0.4909065854923269
48,0.35094371857369255,0.40082512179824237,7.1856828466646645,0.41031313966312755,0.5417035209368165,6.04739125337511,0.0,1.0,0.0,50732.73702561758,24000242.47928089,-18.580319836722428,1341636.7940350194,0.0,0.0,0.0,Olufsen,Constant (5.07e+04),4931.985999396524,-512.4397971484806,911.7752292304592,0.2610428713980376,0.7389571286019624
49,0.7324395859947332,0.5117916552209711,10.750297278931905,0.4457962282589535,0.4261684405349577,11.524361271625306,0.0,1.0,0.0,104769.22427565642,22715133.608710464,-28.956398614719078,1231643.7449874172,0.0,0.0,0.0,Olufsen,Constant (1.05e+05),3966.4397578536905,-53.621145287039894,824.5773806515397,0.5495753875987389,0.4504246124012611
50,0.6458799772698836,0.7687562470834293,17.57502382563058,0.37997820193662124,0.36970605485207053,8.063846768384352,0.0,1.0,0.0,132301.49868529566,13806916.786512185,-16.398576034274974,1109869.9836712289,0.0,0.0,0.0,Olufsen,Constant (1.32e+05),3990.712522073338,-118.88775571871214,834.3738288505378,0.5751550601437967,0.4248449398562033
51,0.40309050678997493,0.4562018135062216,15.832206077875888,0.3416777573652374,0.22613790617760357,19.815091573573465,0.0,1.0,0.0,87567.61120566106,14925355.014596345,-15.583349693106625,935318.4098463089,0.0,0.0,0.0,Olufsen,Constant (8.76e+04),4210.444414291169,-270.9128776944891,859.213443681029,0.3494465547517223,0.6505534452482777
52,0.5717537893966617,0.2982662427393461,15.78658565290241,0.36207637883696586,0.6972050650788858,15.669826548929878,0.0,1.0,0.0,86251.50395196314,16139833.534749668,-22.606437203779805,1435671.6223009753,0.0,0.0,0.0,Olufsen,Constant (8.63e+04),3978.186544186563,2.9800741840111447,825.951296580214,0.49959142740711876,0.5004085725928813
53,0.7061203679067226,0.7114639644840345,14.177325571637894,0.1112458724510898,0.2866984292488379,10.047545755783291,1.0,1.0,109451.12426615314,143087.76548064844,0.0,0.0,0.0,0.0,0.0,0.0,Constant (1.09e+05),Constant (1.43e+05),3978.558267948158,-103.85665783762113,821.317941511428,0.5658804629873881,0.43411953701261186
54,0.4792702392560769,0.7844981967420478,6.739916249821886,0.32288571728404225,0.28091442197007244,8.786983955670536,0.0,1.0,0.0,72529.69812228745,19063413.31822409,-13.604236650913533,1057560.615208495,0.0,0.0,0.0,Olufsen,Constant (7.25e+04),3938.4213151318404,4.515141565273238,814.9066380189192,0.5017747553229943,0.4982252446770057
55,0.6493131584434928,0.1762553828237034,9.98390493919925,0.6630607143611138,0.1226905186771502,12.058218229773694,1.0,0.0,90993.66722701312,0.0,0.0,0.0,0.0,22287136.853240147,-17.575723146206126,1518161.8152405713,Constant (9.10e+04),Olufsen,4064.8546262181058,-13.13186227332562,841.3098272892049,0.5154025024780394,0.4845974975219606
56,0.4667996726658884,0.1015823019321073,2.4185384975990636,0.7014939740031825,0.7406428997382007,12.64533656058206,1.0,1.0,58744.9550572241,56969.4908531291,0.0,0.0,0.0,0.0,0.0,0.0,Constant (5.87e+04),Constant (5.70e+04),3956.8804135167175,-1.992368632834502,816.6927269974572,0.48899166252023296,0.511008337479767
57,0.2759823007348811,0.27337435380163444,18.54585942444743,0.5985090548757905,0.12520936965872054,6.209826981984934,0.0,1.0,0.0,53647.5484280773,20178302.15893353,-28.592906237927323,880597.35051815,0.0,0.0,0.0,Olufsen,Constant (5.36e+04),4111.726582942451,-152.7498371125468,836.4532045831243,0.3912235898424454,0.6087764101575546
58,0.10467409834179575,0.1621915425203097,3.424649390802174,0.7237701840820414,0.7143436977615253,9.331006411032746,1.0,1.0,123804.78220370776,74416.17798804582,0.0,0.0,0.0,0.0,0.0,0.0,Constant (1.24e+05),Constant (7.44e+04),4098.373257927713,-222.74488059387176,848.1512920396339,0.37173148057382954,0.6282685194261705
59,0.5430581006540889,0.25695838202445276,3.8360184680249985,0.7124365099866441,0.6006008118554506,5.624159743299047,0.0,1.0,0.0,143451.3929768476,11376067.795104243,-16.91211650192032,1475745.2796440856,0.0,0.0,0.0,Olufsen,Constant (1.43e+05),3945.6278402810367,2.7010712330429594,816.0401223841104,0.49691954760013934,0.5030804523998607
