name,time,flow_in,flow_out,pressure_in,pressure_out
branch0_seg0,1.4858260019550343e-01,2.9961007596486934e+02,2.9961007596486934e+02,8.3393163794143382e+05,8.3093553718178521e+05
branch0_seg0,1.4956011730205279e-01,3.0024990156400577e+02,3.0024990156400577e+02,8.3569543949333543e+05,8.3269294047769532e+05
branch0_seg0,1.5053763440860216e-01,3.0085539273902373e+02,3.0085539273902373e+02,8.3736459164292179e+05,8.3435603771553165e+05
branch0_seg0,1.5151515151515152e-01,3.0143161899493299e+02,3.0143161899493299e+02,8.3895306944967259e+05,8.3593875325972319e+05
branch0_seg0,1.5249266862170088e-01,3.0198169900350365e+02,3.0198169900350365e+02,8.4046947012838267e+05,8.3744965313834778e+05
branch0_seg0,1.5347018572825025e-01,3.0250584713617462e+02,3.0250584713617462e+02,8.4191438463489700e+05,8.3888932616353524e+05
branch0_seg0,1.5444770283479961e-01,3.0300150469415371e+02,3.0300150469415371e+02,8.4328075942695735e+05,8.4025074438001576e+05
branch0_seg0,1.5542521994134897e-01,3.0346448718569593e+02,3.0346448718569593e+02,8.4455705915330071e+05,8.4152241428144381e+05
branch0_seg0,1.5640273704789834e-01,3.0389071071255711e+02,3.0389071071255711e+02,8.4573202576787409e+05,8.4269311866074835e+05
branch0_seg0,1.5738025415444770e-01,3.0427785709806108e+02,3.0427785709806108e+02,8.4679926877360314e+05,8.4375649020262249e+05
branch0_seg0,1.5835777126099707e-01,3.0462637051171549e+02,3.0462637051171549e+02,8.4776001260862907e+05,8.4471374890351179e+05
branch0_seg0,1.5933528836754643e-01,3.0493943245671664e+02,3.0493943245671664e+02,8.4862302769458306e+05,8.4557363337001600e+05
branch0_seg0,1.6031280547409579e-01,3.0522194111368901e+02,3.0522194111368901e+02,8.4940181680253043e+05,8.4634959739139350e+05
branch0_seg0,1.6129032258064516e-01,3.0547888489967397e+02,3.0547888489967397e+02,8.5011013145746652e+05,8.4705534260846977e+05
branch0_seg0,1.6226783968719452e-01,3.0571371594171382e+02,3.0571371594171382e+02,8.5075748810737790e+05,8.4770035094796075e+05
branch0_seg0,1.6324535679374388e-01,3.0592732013479900e+02,3.0592732013479900e+02,8.5134632889112388e+05,8.4828705568977597e+05
branch0_seg0,1.6422287390029325e-01,3.0611795298417508e+02,3.0611795298417508e+02,8.5187184477549430e+05,8.4881066524565243e+05
branch0_seg0,1.6520039100684261e-01,3.0628215079346325e+02,3.0628215079346325e+02,8.5232448741941480e+05,8.4926166591148020e+05
branch0_seg0,1.6617790811339198e-01,3.0641626847861539e+02,3.0641626847861539e+02,8.5269420845203393e+05,8.4963004576724779e+05
branch0_seg0,1.6715542521994134e-01,3.0651806967324103e+02,3.0651806967324103e+02,8.5297484290196572e+05,8.4990966220523336e+05
branch0_seg0,1.6813294232649070e-01,3.0658778288283520e+02,3.0658778288283520e+02,8.5316702068828163e+05,8.5010114285945334e+05
branch0_seg0,1.6911045943304007e-01,3.0662824094245866e+02,3.0662824094245866e+02,8.5327855106225715e+05,8.5021226865283248e+05
branch0_seg0,1.7008797653958943e-01,3.0664406262339799e+02,3.0664406262339799e+02,8.5332216654971498e+05,8.5025572592348116e+05
branch0_seg0,1.7106549364613879e-01,3.0664018787105374e+02,3.0664018787105374e+02,8.5331148505430890e+05,8.5024508317559841e+05
branch0_seg0,1.7204301075268819e-01,3.0662031221671782e+02,3.0662031221671782e+02,8.5325669401435973e+05,8.5019049089219258e+05
branch0_seg0,1.7302052785923755e-01,3.0658579676975887e+02,3.0658579676975887e+02,8.5316154558798706e+05,8.5009568762028951e+05
branch0_seg0,1.7399804496578691e-01,3.0653544879447827e+02,3.0653544879447827e+02,8.5302275177127367e+05,8.4995739728332893e+05
branch0_seg0,1.7497556207233628e-01,3.0646624319677682e+02,3.0646624319677682e+02,8.5283197331415862e+05,8.4976731088219082e+05
branch0_seg0,1.7595307917888564e-01,3.0637470818191980e+02,3.0637470818191980e+02,8.5257963955090195e+05,8.4951589246908273e+05
branch0_seg0,1.7693059628543500e-01,3.0625845675971493e+02,3.0625845675971493e+02,8.5225917028682050e+05,8.4919658571922325e+05
branch0_seg0,1.7790811339198437e-01,3.0611729746679151e+02,3.0611729746679151e+02,8.5187003771653923e+05,8.4880886474187137e+05
branch0_seg0,1.7888563049853373e-01,3.0595351851982309e+02,3.0595351851982309e+02,8.5141854974665889e+05,8.4835901456146070e+05
branch0_seg0,1.7986314760508310e-01,3.0577124840903650e+02,3.0577124840903650e+02,8.5091608734955487e+05,8.4785837486546452e+05
branch0_seg0,1.8084066471163246e-01,3.0557513762647341e+02,3.0557513762647341e+02,8.5037547049537429e+05,8.4731971911910956e+05
branch0_seg0,1.8181818181818182e-01,3.0536885465853277e+02,3.0536885465853277e+02,8.4980681206802221e+05,8.4675312352143694e+05
branch0_seg0,1.8279569892473119e-01,3.0515395381707526e+02,3.0515395381707526e+02,8.4921439682521380e+05,8.4616285728704289e+05
branch0_seg0,1.8377321603128055e-01,3.0492953067126535e+02,3.0492953067126535e+02,8.4859573153048882e+05,8.4554643622377620e+05
branch0_seg0,1.8475073313782991e-01,3.0469278661987812e+02,3.0469278661987812e+02,8.4794310130468407e+05,8.4489617343848525e+05
branch0_seg0,1.8572825024437928e-01,3.0444028707746315e+02,3.0444028707746315e+02,8.4724703805656300e+05,8.4420263518578827e+05
branch0_seg0,1.8670576735092864e-01,3.0416944240874290e+02,3.0416944240874290e+02,8.4650040296153433e+05,8.4345870853744703e+05
branch0_seg0,1.8768328445747801e-01,3.0387966077945975e+02,3.0387966077945975e+02,8.4570156451535167e+05,8.4266276790755708e+05
branch0_seg0,1.8866080156402737e-01,3.0357274597765422e+02,3.0357274597765422e+02,8.4485549520450074e+05,8.4181976774472429e+05
branch0_seg0,1.8963831867057673e-01,3.0325239424807921e+02,3.0325239424807921e+02,8.4397238443409500e+05,8.4093986049161421e+05
branch0_seg0,1.9061583577712610e-01,3.0292297794204330e+02,3.0292297794204330e+02,8.4306428542619071e+05,8.4003505564677028e+05
branch0_seg0,1.9159335288367546e-01,3.0258806709005512e+02,3.0258806709005512e+02,8.4214103965221299e+05,8.3911515898131253e+05
branch0_seg0,1.9257086999022482e-01,3.0224923613498737e+02,3.0224923613498737e+02,8.4120698736485967e+05,8.3818449500350980e+05
branch0_seg0,1.9354838709677419e-01,3.0190559721038153e+02,3.0190559721038153e+02,8.4025968099054229e+05,8.3724062501843844e+05
branch0_seg0,1.9452590420332355e-01,3.0155423309980097e+02,3.0155423309980097e+02,8.3929107866459421e+05,8.3627553633359622e+05
branch0_seg0,1.9550342130987292e-01,3.0119137147278366e+02,3.0119137147278366e+02,8.3829078123710444e+05,8.3527886752237659e+05
branch0_seg0,1.9648093841642228e-01,3.0081386914688051e+02,3.0081386914688051e+02,8.3725012392490380e+05,8.3424198523343494e+05
branch0_seg0,1.9745845552297164e-01,3.0042046100201617e+02,3.0042046100201617e+02,8.3616561918270728e+05,8.3316141457268700e+05
branch0_seg0,1.9843597262952101e-01,3.0001231427087794e+02,3.0001231427087794e+02,8.3504048471050616e+05,8.3204036156779749e+05
branch0_seg0,1.9941348973607037e-01,2.9959268325570008e+02,2.9959268325570008e+02,8.3388369161439443e+05,8.3088776478183735e+05
branch0_seg0,2.0039100684261973e-01,2.9916578861055365e+02,2.9916578861055365e+02,8.3270687493399903e+05,8.2971521704789356e+05
branch0_seg0,2.0136852394916910e-01,2.9873532868164926e+02,2.9873532868164926e+02,8.3152022986750375e+05,8.2853287658068712e+05
branch0_seg0,2.0234604105571846e-01,2.9830316464781822e+02,2.9830316464781822e+02,8.3032888711007743e+05,8.2734585546359920e+05
branch0_seg0,2.0332355816226783e-01,2.9786865778971332e+02,2.9786865778971332e+02,8.2913108590976347e+05,8.2615239933186630e+05
branch0_seg0,2.0430107526881722e-01,2.9742889986062357e+02,2.9742889986062357e+02,8.2791880912865896e+05,8.2494452013005258e+05
branch0_seg0,2.0527859237536658e-01,2.9697975323661530e+02,2.9697975323661530e+02,8.2668065061557933e+05,8.2371085308321321e+05
branch0_seg0,2.0625610948191594e-01,2.9651732454203801e+02,2.9651732454203801e+02,8.2540587753641547e+05,8.2244070429099503e+05
branch0_seg0,2.0723362658846531e-01,2.9603934004479629e+02,2.9603934004479629e+02,8.2408822191407450e+05,8.2112782851362659e+05
branch0_seg0,2.0821114369501467e-01,2.9554592896679799e+02,2.9554592896679799e+02,8.2272803997344361e+05,8.1977258068377571e+05
branch0_seg0,2.0918866080156404e-01,2.9503953710104167e+02,2.9503953710104167e+02,8.2133207401038031e+05,8.1838167863936978e+05
branch0_seg0,2.1016617790811340e-01,2.9452400825138756e+02,2.9452400825138756e+02,8.1991092020487913e+05,8.1696568012236536e+05
branch0_seg0,2.1114369501466276e-01,2.9400317019597333e+02,2.9400317019597333e+02,8.1847513055896806e+05,8.1553509885700827e+05
branch0_seg0,2.1212121212121213e-01,2.9347943697977695e+02,2.9347943697977695e+02,8.1703135984901816e+05,8.1409656547922036e+05
branch0_seg0,2.1309872922776149e-01,2.9295292812365392e+02,2.9295292812365392e+02,8.1557993755711080e+05,8.1265040827587422e+05
branch0_seg0,2.1407624633431085e-01,2.9242141365978387e+02,2.9242141365978387e+02,8.1411471635074250e+05,8.1119050221414468e+05
branch0_seg0,2.1505376344086022e-01,2.9188109298871382e+02,2.9188109298871382e+02,8.1262521915112459e+05,8.0970640822123748e+05
branch0_seg0,2.1603128054740958e-01,2.9132791549380141e+02,2.9132791549380141e+02,8.1110027965929999e+05,8.0818700050436205e+05
branch0_seg0,2.1700879765395895e-01,2.9075896023432756e+02,2.9075896023432756e+02,8.0953184574390692e+05,8.0662425614156353e+05
branch0_seg0,2.1798631476050831e-01,2.9017337852027561e+02,2.9017337852027561e+02,8.0791757782870636e+05,8.0501584404350363e+05
branch0_seg0,2.1896383186705767e-01,2.8957256931864134e+02,2.8957256931864134e+02,8.0626133243360277e+05,8.0336560674041649e+05
branch0_seg0,2.1994134897360704e-01,2.8895954053159994e+02,2.8895954053159994e+02,8.0457140141583327e+05,8.0168180601051718e+05
branch0_seg0,2.2091886608015640e-01,2.8833770477821145e+02,2.8833770477821145e+02,8.0285719231207913e+05,7.9997381526429718e+05
branch0_seg0,2.2189638318670576e-01,2.8770955875630295e+02,2.8770955875630295e+02,8.0112558774708852e+05,7.9824849215952540e+05
branch0_seg0,2.2287390029325513e-01,2.8707572897487341e+02,2.8707572897487341e+02,7.9937831481265789e+05,7.9650755752290925e+05
branch0_seg0,2.2385141739980449e-01,2.8643472378898707e+02,2.8643472378898707e+02,7.9761126150442997e+05,7.9474691426654009e+05
branch0_seg0,2.2482893450635386e-01,2.8578346700142038e+02,2.8578346700142038e+02,7.9581594769681327e+05,7.9295811302679905e+05
branch0_seg0,2.2580645161290322e-01,2.8511840040901785e+02,2.8511840040901785e+02,7.9398256452274125e+05,7.9113138051865099e+05
branch0_seg0,2.2678396871945258e-01,2.8443673740736142e+02,2.8443673740736142e+02,7.9210343017454061e+05,7.8925906280046701e+05
branch0_seg0,2.2776148582600195e-01,2.8373740136982883e+02,2.8373740136982883e+02,7.9017557672515477e+05,7.8733820271145657e+05
branch0_seg0,2.2873900293255131e-01,2.8302130676171589e+02,2.8302130676171589e+02,7.8820152507295087e+05,7.8537131200533360e+05
branch0_seg0,2.2971652003910067e-01,2.8229088996732582e+02,2.8229088996732582e+02,7.8618799157691898e+05,7.8336508267724572e+05
branch0_seg0,2.3069403714565004e-01,2.8154907730313278e+02,2.8154907730313278e+02,7.8414304318771744e+05,7.8132755241468619e+05
branch0_seg0,2.3167155425219940e-01,2.8079808567043381e+02,2.8079808567043381e+02,7.8207279121748242e+05,7.7926481036077789e+05
branch0_seg0,2.3264907135874877e-01,2.8003851043163991e+02,2.8003851043163991e+02,7.7997887689648767e+05,7.7717849179217138e+05
branch0_seg0,2.3362658846529813e-01,2.7926904458200130e+02,2.7926904458200130e+02,7.7785769721633883e+05,7.7506500677051872e+05
branch0_seg0,2.3460410557184752e-01,2.7848693513717745e+02,2.7848693513717745e+02,7.7570166304953001e+05,7.7291679369815835e+05
branch0_seg0,2.3558162267839688e-01,2.7768900578505117e+02,2.7768900578505117e+02,7.7350201828463248e+05,7.7072512822678185e+05
branch0_seg0,2.3655913978494625e-01,2.7687286205835608e+02,2.7687286205835608e+02,7.7125216211497888e+05,7.6848343349439534e+05
branch0_seg0,2.3753665689149561e-01,2.7603782531355375e+02,2.7603782531355375e+02,7.6895022372994910e+05,7.6618984547681361e+05
branch0_seg0,2.3851417399804498e-01,2.7518524043686523e+02,2.7518524043686523e+02,7.6659991056545498e+05,7.6384805816108629e+05
branch0_seg0,2.3949169110459434e-01,2.7431803297802787e+02,2.7431803297802787e+02,7.6420928745849861e+05,7.6146610712871829e+05
branch0_seg0,2.4046920821114370e-01,2.7343966923675919e+02,2.7343966923675919e+02,7.6178790992675489e+05,7.5905351323438727e+05
branch0_seg0,2.4144672531769307e-01,2.7255289536625781e+02,2.7255289536625781e+02,7.5934334826637909e+05,7.5661781931271649e+05
branch0_seg0,2.4242424242424243e-01,2.7165871685587757e+02,2.7165871685587757e+02,7.5687837430095149e+05,7.5416178713239264e+05
branch0_seg0,2.4340175953079179e-01,2.7075599622560935e+02,2.7075599622560935e+02,7.5438985234942357e+05,7.5168229238716757e+05
branch0_seg0,2.4437927663734116e-01,2.6984182464080334e+02,2.6984182464080334e+02,7.5186976365312736e+05,7.4917134540671913e+05
branch0_seg0,2.4535679374389052e-01,2.6891254328667401e+02,2.6891254328667401e+02,7.4930802198980749e+05,7.4661889655694086e+05
branch0_seg0,2.4633431085043989e-01,2.6796505454898795e+02,2.6796505454898795e+02,7.4669608819379332e+05,7.4401643764830334e+05
branch0_seg0,2.4731182795698925e-01,2.6699795694507793e+02,2.6699795694507793e+02,7.4403009881025064e+05,7.4136011924080004e+05
branch0_seg0,2.4828934506353861e-01,2.6601209964533200e+02,2.6601209964533200e+02,7.4131239473965403e+05,7.3865227374320047e+05
branch0_seg0,2.4926686217008798e-01,2.6501035959391709e+02,2.6501035959391709e+02,7.3855090682846052e+05,7.3590080323252140e+05
branch0_seg0,2.5024437927663734e-01,2.6399672146789544e+02,2.6399672146789544e+02,7.3575661960057169e+05,7.3311665238589281e+05
branch0_seg0,2.5122189638318670e-01,2.6297498787743768e+02,2.6297498787743768e+02,7.3294001567770389e+05,7.3031026579892938e+05
branch0_seg0,2.5219941348973607e-01,2.6194757568815351e+02,2.6194757568815351e+02,7.3010775761183759e+05,7.2748828185495618e+05
branch0_seg0,2.5317693059628543e-01,2.6091481901156442e+02,2.6091481901156442e+02,7.2726076644524059e+05,7.2465161825512489e+05
branch0_seg0,2.5415444770283480e-01,2.5987501456972620e+02,2.5987501456972620e+02,7.2439434676671633e+05,7.2179559662101907e+05
branch0_seg0,2.5513196480938416e-01,2.5882517879773559e+02,2.5882517879773559e+02,7.2150027380937047e+05,7.1891202202139306e+05
branch0_seg0,2.5610948191593352e-01,2.5776223475531043e+02,2.5776223475531043e+02,7.1857006539922848e+05,7.1599244305167533e+05
